Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Platelet activation	59/124	8.875476e-24	2.680394e-21	0	0	7.200754e+00	3.822070e+02	ITGB1;ITGB3;ITGA2B;SNAP23;PIK3CB;ACTB;PIK3CG;ACTG1;MYLK;AKT3;PRKACB;PRKG1;PTGIR;ARHGEF12;FCER1G;PPP1R12A;SYK;VWF;ITGA2;F2R;PLA2G4A;GP1BA;VAMP8;PLCB3;PLCB4;STIM1;BTK;ORAI1;LCP2;TLN1;PLCB2;ROCK2;SRC;ITPR1;RASGRP2;MYL12A;ADCY6;MYL12B;GNAI2;PTGS1;RAP1B;GNA13;TBXA2R;P2RY1;FYN;MAPK3;LYN;VASP;GP6;MAPK14;GP5;GP9;FCGR2A;GNAQ;P2RX1;TBXAS1;GNAS;FERMT3;F2RL3
GO_Biological_Process_2023	Regulation of actin cytoskeleton	68/218	3.069444e-15	4.634860e-13	0	0	3.593526e+00	1.200859e+02	ITGB1;CYFIP1;NCKAP1;ITGB5;ARPC1B;ITGB3;ITGA2B;PIK3CB;FGF2;ACTB;CRKL;MYLK;ACTG1;TMSB4X;TMSB4Y;RAC2;PIP4K2A;RAC3;ITGAV;GIT1;VAV3;ACTR3;ACTR2;ARHGEF12;PPP1R12A;ACTN1;ITGA2;F2R;VAV1;MYH9;ITGA6;ITGA5;PFN1;SOS1;MYL9;DOCK1;PPP1R12C;VCL;ROCK2;SRC;PDGFB;PDGFA;CXCR4;LPAR4;MYL12A;MYL12B;SLC9A1;FGD3;GNA13;RRAS;PDGFC;GNA12;NCKAP1L;PIP5K1C;WASF1;MAPK3;GSN;EGF;LIMK2;LIMK1;MSN;ARPC4;ARPC5;SSH1;DIAPH1;LPAR5;ARPC2;ARPC3
GO_Biological_Process_2023	Focal adhesion	58/201	1.216601e-11	1.224711e-09	0	0	3.201936e+00	8.047227e+01	ITGB1;ITGB5;ITGB3;ITGA2B;ILK;PIK3CB;ACTB;CRKL;MYLK;ACTG1;IGF1R;CCND3;AKT3;RAC2;RAC3;ITGAV;VAV3;PPP1R12A;VWF;PRKCB;ACTN1;ITGA2;PRKCA;VAV1;COL4A5;COL6A3;ITGA6;ITGA5;TLN1;SOS1;MYL9;DOCK1;PPP1R12C;VCL;SHC1;ROCK2;SRC;PDGFB;PDGFA;THBS1;MYL12A;MYL12B;RAP1B;PDGFC;FLNA;FYN;PIP5K1C;MAPK3;VASP;CAV2;EGF;LAMB2;CAV1;VEGFC;DIAPH1;ZYX;CTNNB1;GRB2
GO_Biological_Process_2023	Fc gamma R-mediated phagocytosis	36/97	4.049817e-11	3.057612e-09	0	0	4.634940e+00	1.109130e+02	ARPC1B;INPPL1;WAS;ASAP1;PIK3CB;ASAP2;CRKL;AKT3;RAC2;PIP5K1C;WASF1;WASF3;MAPK3;LYN;VASP;ACTR3;VAV3;ACTR2;GSN;SYK;PRKCB;LIMK2;PRKCD;LIMK1;PLA2G4A;PRKCA;ARPC4;ARPC5;VAV1;HCK;FCGR2A;ARPC2;BIN1;ARPC3;DOCK1;LAT
GO_Biological_Process_2023	Pathogenic Escherichia coli infection	56/197	5.220360e-11	3.153097e-09	0	0	3.132918e+00	7.417456e+01	ITGB1;CYFIP1;NCKAP1;ARF1;WIPF1;ARPC1B;ACTB;ACTG1;TUBA1C;TUBA1A;TUBB1;CASP4;NCK2;IKBKG;ACTR3;ACTR2;ARHGEF12;F2R;FOS;TUBA4A;TNFRSF1A;CLDN10;IL1B;MYH9;TMBIM6;CLDN16;RAB1A;TUBAL3;ROCK2;SRC;LPAR4;GNA13;SLC9A3R1;MYO6;GNA12;NCKAP1L;FYN;WASF1;WASF3;MAPK3;ARPC4;ARPC5;MAPK14;TJP1;NFKBIA;FCGR2A;MYO1C;LPAR5;ARPC2;ARPC3;ABI1;TAB2;PTPN6;SEC24D;MYO1F;TUBA8
GO_Biological_Process_2023	Phospholipase D signaling pathway	46/148	1.035818e-10	5.213619e-09	0	0	3.549405e+00	8.160316e+01	DGKG;DGKE;ARF1;RALA;DGKD;RALB;SHC1;PDGFB;PDGFA;LPAR4;PIK3CB;AGPAT1;AGPAT2;PIK3CG;ADCY6;AGPAT4;GNA13;RRAS;AKT3;PDGFC;GNA12;FCER1A;PTK2B;FYN;PIP5K1C;MAPK3;FCER1G;SYK;EGF;F2R;PLA2G4A;PRKCA;AVPR1A;DNM1;DNM3;PLCB3;PLCB4;LPAR5;LPAR6;AGTR1;GNAS;GRB2;SOS1;PLCB2;DGKI;DGKH
GO_Biological_Process_2023	Yersinia infection	41/137	3.703715e-09	1.597888e-07	0	0	3.354975e+00	6.513324e+01	ITGB1;WIPF1;ROCK2;SRC;ARPC1B;WAS;PIK3CB;ACTB;ACTG1;CRKL;AKT3;RAC2;RAC3;PTK2B;PIP5K1C;IKBKG;MAPK3;ACTR3;VAV3;ACTR2;ARHGEF12;LIMK1;ARPC4;ARPC5;FOS;MAPK14;VAV1;NFKBIA;CD4;FCGR2A;ARPC2;ARPC3;GNAQ;IL1B;ELMO2;TAB2;LCP2;ITGA5;DOCK1;LAT;SKAP2
GO_Biological_Process_2023	Chemokine signaling pathway	51/192	4.892342e-09	1.846859e-07	0	0	2.846805e+00	5.447530e+01	ARRB1;CXCL1;PIK3CB;CXCL3;CXCL2;CXCL5;PIK3CG;CRKL;AKT3;RAC2;RAC3;IKBKG;JAK2;PRKACB;CCR4;JAK3;PF4V1;VAV3;PRKCB;PRKCD;VAV1;HCK;PLCB3;PLCB4;SOS1;PLCB2;CX3CR1;SHC1;ROCK2;SRC;WAS;CXCR4;RASGRP2;ADCY6;GNAI2;RAP1B;GRK5;GRK4;CCL5;GNG7;PTK2B;MAPK3;LYN;PPBP;GNG11;NFKBIA;GNAQ;GNB4;GRB2;GNB5;PF4
GO_Biological_Process_2023	Rap1 signaling pathway	52/210	4.465432e-08	1.415788e-06	0	0	2.588971e+00	4.381655e+01	ITGB1;ITGB3;ITGA2B;PIK3CB;FGF2;ACTB;CRKL;ACTG1;IGF1R;AKT3;RAC2;RAC3;VAV3;PRKCB;F2R;PRKCA;VAV1;PLCB3;PLCB4;PRKD2;LCP2;PFN1;TLN1;PLCB2;RALA;RALB;SRC;PDGFB;PDGFA;LPAR4;RASGRP2;THBS1;ADCY6;GNAI2;RASGRP3;RAP1B;RRAS;PDGFC;P2RY1;MAPK3;VASP;ANGPT1;EGF;VEGFC;MAPK14;LPAR5;GNAQ;GNAS;CTNNB1;TEK;LAT;F2RL3
GO_Biological_Process_2023	MAPK signaling pathway	66/294	4.688039e-08	1.415788e-06	0	0	2.282379e+00	3.851666e+01	PTPRR;ARRB1;FGF2;CRKL;IGF1R;AKT3;RAC2;RAC3;MAP3K8;IKBKG;PRKACB;MAP3K5;DUSP5;MAP4K2;MEF2C;DUSP3;PRKCB;CACNA2D3;PLA2G4A;PRKCA;FOS;EREG;DUSP7;TGFBR2;TNFRSF1A;PPM1A;CACNB3;CACNB4;IL1B;RASA1;SOS1;MAX;PDGFB;PDGFA;NLK;RASGRP2;STK4;RASGRP4;RASGRP3;STK3;RAP1B;PPP3R1;RRAS;MKNK1;PDGFC;GNA12;FLNA;MAPK3;JUND;TGFB1;ANGPT1;GADD45A;BDNF;EGF;HSPA6;VEGFC;MAPK14;GADD45G;TAOK1;GRB2;TAB2;TEK;LAMTOR3;MAP3K11;HSPA1A;MAP3K12
GO_Biological_Process_2023	Bacterial invasion of epithelial cells	26/77	1.849574e-07	5.077921e-06	0	0	3.988346e+00	6.183189e+01	ITGB1;SHC1;SRC;ARPC1B;ILK;PIK3CB;ACTB;ACTG1;CRKL;WASF1;ACTR3;ACTR2;CAV2;CAV1;ARPC4;ARPC5;DNM1;DNM3;ARHGAP10;ARPC2;ARPC3;ELMO2;CTNNB1;ITGA5;DOCK1;VCL
GO_Biological_Process_2023	Gap junction	28/88	2.612639e-07	6.575140e-06	0	0	3.652246e+00	5.535977e+01	TUBAL3;SRC;ITPR1;PDGFB;PDGFA;HTR2A;ADCY6;GNAI2;TUBA1C;TUBA1A;TUBB1;PDGFC;PRKACB;PRKG1;MAPK3;PRKCB;EGF;PRKCA;TUBA4A;TJP1;PLCB3;PLCB4;GNAQ;GNAS;GRB2;SOS1;PLCB2;TUBA8
