Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	110/525	1.090369e-09	2.139906e-06	0	0	2.025112e+00	4.179173e+01	SLC35B2;NCF1;TRAF3IP2;CD81;IFIT5;IFI35;PYCARD;LGALS1;TFG;TNFSF10;PIM2;TRIM22;PDGFRA;PRKCB;HGF;ARRDC3;RRAGA;DOK2;DOK3;DDIT3;RRAGD;ADAM8;CARD16;PDGFA;IQGAP1;ADRB2;NTS;PIK3R5;SLC9A3R1;PLCG2;HMOX1;NLRP3;PMAIP1;IGFBP6;OSBPL8;NDFIP2;RBPMS;NEK6;LIF;TNFRSF10B;BST2;PTPRC;MC1R;DLG5;REL;CD27;TAB3;FERMT2;HLA-DRB1;MYD88;BMPR1A;RET;BCAR3;ECM1;BMPR2;PLEKHF1;TRADD;PIK3CD;LITAF;PIK3CG;IKBKB;AKAP13;CASP1;ITGAV;CCR7;IKBKE;MAP4K1;TRIM62;ZDHHC13;IRAK4;RHOC;TGFBR1;PIK3CA;LCK;TRAF5;KIT;PELI1;HCLS1;RAPGEF2;LTB;HCST;TMEM106A;BIRC2;BIRC3;LTF;NFAT5;PELI2;CBL;CCL4;CCL3;RICTOR;EXTL3;TRIM44;NTRK1;SEMA4D;GDF15;TRAT1;LAPTM5;MIB2;OSM;CFLAR;PINK1;CD4;P2RX4;C18ORF32;SPRY2;PTPN6;TRIM38;LAMTOR4;TRIM32
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	74/308	1.418438e-09	2.139906e-06	0	0	2.403143e+00	4.896093e+01	IFITM2;DOCK8;TRADD;IL5RA;MT1X;IFIT1;IL27RA;IKBKB;PYCARD;MT2A;ZFP36;CASP1;SIRPA;CCR7;CTSG;JAK3;IL6R;HLA-DPA1;JAK1;ADAMTS7;IFNAR2;GBP5;IL4R;DAPK1;DUSP1;IRAK4;OAS1;IRF1;KIT;IL3RA;HCLS1;IRF5;IL9R;NFAT5;ASAH1;SELPLG;PDE1B;STK39;CXCR4;CSF2RB;CBL;IL2RG;HIF1A;ZFP36L1;SBNO2;SOCS1;IFI16;CCL4;CCL3;CCL2;ST3GAL6;STAT6;CCL1;CCL18;GBP2;GBP1;GBP4;SOCS5;GBP3;EGR1;CCL23;STAT1;STAT3;NFKBIA;MAPK11;FER;CD4;LRCH1;IL2RB;MNDA;PTPN6;PLP2;CALM1;IL7R
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	76/320	1.490186e-09	2.139906e-06	0	0	2.367649e+00	4.812096e+01	ITK;TRAF3IP3;CD80;PIK3CD;RORA;PTPN22;PIK3CG;PYCARD;DHX58;CASP1;FLOT1;PDE4B;CYP1B1;CCR7;IKBKE;IL6R;HAVCR2;HLA-DPA1;GBP5;ANXA1;FCER1G;BTN3A1;PDE4D;IL16;CYBA;HLA-A;BTN3A2;HLA-E;FOXP1;TYROBP;TMIGD2;DDIT3;IRF1;RARA;IRF7;IRF5;LCP1;LTB;TMEM106A;PTGER4;CEBPB;TXK;XIAP;PTGS2;HIF1A;AGPAT2;IFI16;PLCG2;HMOX1;NLRP3;TNFRSF14;CCL1;CD14;DRD2;SLAMF1;CD276;EGR1;TSLP;ZNF580;RFTN1;STAT3;EIF2AK3;LAPTM5;OSM;ISG15;POU2F2;BATF;SULF2;CCDC88B;LACC1;MAPK11;CD4;PTPRC;IL18R1;MYD88;HSPA1A
GO_Biological_Process_2023	Defense Response To Symbiont (GO:0140546)	44/148	3.711719e-09	3.997521e-06	0	0	3.197149e+00	6.206231e+01	IFITM3;RTP4;IFITM1;RNASEL;IFITM2;IFIT5;IFI6;DDX60L;IFIT1;LYST;IFI44L;IFIT3;IFIT2;OASL;PYCARD;IFI16;CASP1;PMAIP1;NLRP1;GBP2;IKBKE;IFNAR2;GBP5;APOBEC3F;RSAD2;APOBEC3G;RIPK3;APOBEC3H;STAT1;MX2;STAT2;MX1;RNASE6;ISG15;BST2;PTPRC;IFI27;OAS1;OAS2;IRF1;DDIT4;BCL2;IRF7;MYD88
GO_Biological_Process_2023	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	59/232	7.030765e-09	6.057707e-06	0	0	2.583770e+00	4.850504e+01	SLC35B2;ECM1;TRAF3IP2;TRADD;IFIT5;TNFAIP3;RORA;ARRB2;LITAF;IKBKB;PYCARD;AKAP13;LGALS1;TFG;TNFSF10;CASP1;CAPN3;CCR7;PIM2;IKBKE;TRIM22;TRIM62;PRKCB;RHOH;ZDHHC13;IRAK4;TRAF1;RHOC;TRAF4;TRAF5;PELI1;CARD16;LTB;SQSTM1;OPTN;TMEM106A;BIRC2;BIRC3;LTF;PPM1N;PELI2;PLCG2;HMOX1;NDFIP2;STAT1;NEK6;MIB2;TNFRSF10B;CFLAR;BST2;CD4;PINK1;C18ORF32;REL;TAB3;TRIM38;TRIM32;HLA-DRB1;MYD88
GO_Biological_Process_2023	Cytokine-Mediated Signaling Pathway (GO:0019221)	63/257	1.022818e-08	7.343836e-06	0	0	2.461606e+00	4.528891e+01	SLC27A1;SPI1;TRAF3IP2;TRADD;IL5RA;IL1RAP;CXCL2;IL27RA;OASL;IKBKB;PYCARD;RPS6KA5;IL18RAP;TMSB4X;CTSG;JAK3;IL6R;JAK1;FCER1G;IL4R;IRAK4;TRAF1;COMMD7;RRAGA;OAS1;TRAF4;OAS2;KIT;IL3RA;TRAF5;IRF5;BIRC2;IL9R;BIRC3;YAP1;CSF2RB;CBL;IL2RG;IL1RL1;SOCS1;CCL4;CCL3;CCL2;STAT6;CCL1;CCL18;CD300LF;SOCS5;EGR1;CCL23;STAT1;STAT3;MX1;OSM;NFKBIA;FER;CD4;IL2RB;PTPN6;PLP2;IL7R;IL18R1;MYD88
GO_Biological_Process_2023	Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	40/134	1.649739e-08	9.818493e-06	0	0	3.211997e+00	5.755919e+01	DENND1B;ITK;TXK;PIK3CD;CD3G;PTPN22;CD3E;CD3D;CD79B;IKBKB;NFKBIZ;PLCG2;PDE4B;NCKAP1L;CD276;HLA-DPA1;BTN2A2;BTN3A1;PRKCB;BTN2A1;PDE4D;RFTN1;BTN3A3;HLA-A;BTN3A2;LAX1;LAT2;NCOR2;PTPRC;PIK3CA;LCK;BTK;BCL2;LCP2;MNDA;CD247;NFKBID;SKAP1;HLA-DRB1;BCAR1
GO_Biological_Process_2023	T Cell Receptor Signaling Pathway (GO:0050852)	32/95	1.823304e-08	9.818493e-06	0	0	3.827602e+00	6.820799e+01	DENND1B;ITK;TXK;PIK3CD;CD3G;PTPN22;CD3E;CD3D;IKBKB;NFKBIZ;PDE4B;PLCG2;HLA-DPA1;CD276;BTN3A1;BTN2A2;BTN2A1;PDE4D;RFTN1;BTN3A3;BTN3A2;HLA-A;NCOR2;PTPRC;PIK3CA;LCK;BTK;LCP2;CD247;NFKBID;SKAP1;HLA-DRB1
GO_Biological_Process_2023	Negative Regulation Of Cytokine Production (GO:0001818)	48/178	2.431072e-08	1.163673e-05	0	0	2.790913e+00	4.893125e+01	PTGER4;CD84;TNFAIP3;PTPN22;ADCY7;PYCARD;ZFP36;RPS6KA5;GPNMB;TMSB4X;DHX58;NPTN;SIRPA;HOMER3;NCKAP1L;CCR7;JAK3;EXTL3;GBP1;CD33;SLAMF1;HAVCR2;SRGN;PRNP;ANXA1;CR1;BTN2A2;SLC2A10;ANXA4;LAPTM5;INHBA;ATG12;SIGIRR;CYLD;TWSG1;CD200R1;RNF125;TYROBP;PTPRC;ELF4;SYT11;DDIT3;BCL3;RARA;PTPN6;XAF1;FCGR2B;HLA-DRB1
GO_Biological_Process_2023	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	46/175	1.084980e-07	4.674095e-05	0	0	2.693186e+00	4.318938e+01	SLC35B2;ECM1;TRAF3IP2;TRADD;PELI2;IFIT5;LITAF;IKBKB;AKAP13;LGALS1;TFG;TNFSF10;CASP1;HMOX1;CCR7;PIM2;IKBKE;TRIM22;NDFIP2;TRIM62;PRKCB;NEK6;MIB2;TNFRSF10B;ZDHHC13;IRAK4;CFLAR;RHOC;BST2;CD4;PINK1;TRAF5;C18ORF32;REL;PELI1;TAB3;CARD16;LTB;TRIM38;TRIM32;HLA-DRB1;MYD88;BIRC2;TMEM106A;BIRC3;LTF
