Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Lysosome	54/128	3.243457e-18	9.860110e-16	0	0	5.547841e+00	2.234110e+02	SCARB2;HEXB;HEXA;LITAF;CTSS;SGSH;LAPTM4A;CTSO;GNPTAB;GM2A;SMPD1;HYAL3;AP1S2;AP1S1;IDS;CTSG;AP1S3;AP3S1;CTSF;CTSD;CTSC;ARSA;HGSNAT;MANBA;ATP6AP1;ENTPD4;GAA;SLC11A2;PLA2G15;NPC1;NPC2;DNASE2;ATP6V0D1;ATP6V0D2;CD63;ASAH1;IDUA;GNS;AP3M2;NEU1;PSAP;ATP6V0A2;SLC17A5;ARSG;ARSB;ABCA2;FUCA1;M6PR;LAPTM5;GALC;GALNS;TPP1;CD68;GLA
KEGG_2021_Human	Osteoclast differentiation	47/127	1.807324e-13	2.747132e-11	0	0	4.451511e+00	1.306152e+02	SPI1;CSF1;NCF1;NCF4;PIK3CD;RELB;IKBKB;SOCS3;SOCS1;PPP3CC;PLCG2;SIRPA;FCGR1A;JUNB;MAP2K6;JAK1;IFNAR2;MAP2K1;JUN;JUND;IFNGR1;STAT1;IFNGR2;STAT2;CYBA;MITF;FOS;GAB2;TGFBR1;MAPK12;FOSL2;NFKB2;TGFBR2;NFKBIA;CYLD;MAPK11;TYROBP;PIK3CA;LCK;CAMK4;BTK;FOSB;GRB2;LCP2;FCGR2B;SQSTM1;IRF9
KEGG_2021_Human	Salmonella infection	68/249	1.721980e-11	1.744940e-09	0	0	2.856132e+00	7.078913e+01	CYFIP2;ARPC1B;TRADD;BRK1;PIK3CD;PIK3C2A;PIK3CG;ACTG1;PIK3C2B;IKBKB;PYCARD;CASP7;TUBA1A;TNFSF10;CASP1;ACTR3;MAP2K1;ANXA2;RIPK3;DYNLT1;DYNLT3;RHOG;RHOH;FOS;IRAK4;DYNLL1;RHOB;PIK3CA;ELMO1;ARL8A;BIRC2;ARF6;BIRC3;DCTN6;RAB5B;RALA;AHNAK;LY96;SNX33;MYL12A;MYL12B;CYTH3;CYTH2;CYTH4;MYO6;NLRP3;NCKAP1L;CD14;CYTH1;WASF3;MAP2K6;GSDMD;JUN;M6PR;TNFRSF10B;ARPC5;MAPK12;NFKBIA;MAPK11;PTPRC;ARPC2;ARPC3;BCL2;TAB3;DYNLRB1;ACBD3;RAB5A;MYD88
KEGG_2021_Human	Epstein-Barr virus infection	58/202	6.070440e-11	4.613534e-09	0	0	3.055242e+00	7.187459e+01	CDKN1A;CDKN1B;TRADD;PIK3CD;TNFAIP3;CD3G;CD3E;ITGAL;CD3D;ICAM1;IKBKB;B2M;IKBKE;JAK3;HLA-DPA1;JAK1;IFNAR2;ENTPD3;DDX58;HLA-B;HLA-C;TAP1;HLA-A;IRAK4;HLA-F;RUNX3;HLA-E;TAPBP;NCOR2;CCNA1;OAS1;PIK3CA;OAS2;TRAF5;BTK;IRF7;CD44;IRF9;RELB;PLCG2;HES1;MAP2K6;HLA-DRB5;JUN;GADD45B;STAT1;STAT2;STAT3;ISG15;MAPK12;NFKB2;NFKBIA;MAPK11;BCL2;CD247;VIM;HLA-DRB1;MYD88
KEGG_2021_Human	NOD-like receptor signaling pathway	53/181	1.817046e-10	1.104764e-08	0	0	3.136913e+00	7.035669e+01	TNFAIP3;ANTXR2;CXCL2;PYCARD;IKBKB;NAMPT;CASP1;IKBKE;JAK1;IFNAR2;GBP5;GABARAPL1;RIPK3;PRKCD;CYBA;IRAK4;ATG12;OAS1;OAS2;TRAF5;IRF7;TXNIP;CARD16;PLCB2;BIRC2;IRF9;BIRC3;RNASEL;ITPR2;XIAP;GABARAP;IFI16;NLRP3;CCL2;NLRP1;TP53BP1;GBP2;GBP1;GBP4;GBP3;GSDMD;JUN;STAT1;STAT2;NEK7;TRPV2;MAPK12;NFKBIA;P2RX7;MAPK11;BCL2;TAB3;MYD88
KEGG_2021_Human	Th17 cell differentiation	36/107	2.484058e-09	1.258589e-07	0	0	3.825686e+00	7.579974e+01	RORA;CD3G;AHR;IL1RAP;CD3E;IL2RG;HIF1A;CD3D;IL27RA;IKBKB;PPP3CC;STAT6;IL6R;JAK3;HLA-DPA1;JAK1;HLA-DRB5;JUN;IL4R;IFNGR1;STAT1;IFNGR2;STAT3;FOS;TGFBR1;MAPK12;TGFBR2;NFKBIA;MAPK11;CD4;LCK;IL2RB;RARA;CD247;HLA-DRB1;LAT
KEGG_2021_Human	Yersinia infection	42/137	3.017875e-09	1.310620e-07	0	0	3.339780e+00	6.552218e+01	WIPF1;ARPC1B;WAS;PIK3CD;ACTG1;PYCARD;IKBKB;RPS6KA3;RPS6KA2;CASP1;RAC2;NLRP3;CCL2;PIP5K1C;MAP2K6;ACTR3;GIT2;MAP2K1;JUN;ITGA4;LIMK1;RHOG;ARPC5;FOS;IRAK4;VAV1;MAPK12;NFKBIA;MAPK11;CD4;ARPC2;PIK3CA;ARPC3;LCK;ELMO1;ARHGEF1;LCP2;ITGA5;LAT;MYD88;BCAR1;ARF6
KEGG_2021_Human	TNF signaling pathway	36/112	9.912359e-09	3.766696e-07	0	0	3.572979e+00	6.584815e+01	CEBPB;CSF1;ATF6B;TRADD;PIK3CD;TNFAIP3;PTGS2;CXCL2;ICAM1;IKBKB;SOCS3;CASP7;RPS6KA5;CREB3L2;CCL2;MAP3K8;JUNB;MAP2K6;MAP2K1;JUN;RIPK3;LIF;FOS;TRAF1;CFLAR;MAPK12;NFKBIA;MAPK11;PIK3CA;IRF1;BCL3;TRAF5;TAB3;BIRC2;IL18R1;BIRC3
KEGG_2021_Human	NF-kappa B signaling pathway	34/104	1.563437e-08	5.129054e-07	0	0	3.661827e+00	6.581693e+01	TRADD;LY96;TNFAIP3;XIAP;PTGS2;CXCL2;ICAM1;TNFSF13B;RELB;IKBKB;PLAU;CCL4;PLCG2;CD14;EDARADD;GADD45B;PRKCB;DDX58;IRAK4;TRAF1;CFLAR;NFKB2;NFKBIA;CYLD;LCK;TRAF5;BTK;BCL2;TAB3;LTB;LAT;MYD88;BIRC2;BIRC3
KEGG_2021_Human	Pathways in cancer	107/531	1.687189e-08	5.129054e-07	0	0	1.924499e+00	3.444395e+01	SPI1;IL5RA;ETS1;EDNRB;RPS6KA5;TFG;RASSF5;PIM1;PIM2;IL6R;IFNAR2;PDGFRA;MAP2K1;IL4R;DAPK1;PRKCB;HGF;PRKCA;MITF;EPAS1;PDGFA;LPAR2;GSTT1;CSF2RB;PLD1;STK4;HIF1A;FOXO1;RASGRP4;PLCG2;HMOX1;PMAIP1;JUN;FZD2;JUP;GADD45B;ESR2;NFKB2;NFKBIA;LPAR5;LPAR6;BCL2;GRB2;CALM1;IL7R;RET;CDKN1A;CDKN1B;PTEN;PIK3CD;LAMC1;IKBKB;CASP7;HEY1;RAC2;ITGAV;JAK3;JAK1;NCOA1;ARHGEF11;IFNGR1;IFNGR2;NCOA3;FOS;TRAF1;TGFBR1;TGFBR2;CCNA1;PIK3CA;TRAF4;IL3RA;TRAF5;KIT;RARA;ARHGEF1;PLCB2;SOS2;BIRC2;PPARD;BIRC3;PTGER4;RALA;RALB;PTGER2;PTGER3;LAMA3;CXCR4;XIAP;PTGS2;IL2RG;CBL;ADCY7;GNAI1;GNAI2;GNG2;GNG7;STAT6;HES1;CAMK2G;NTRK1;NQO1;STAT1;STAT2;STAT3;VEGFB;GSTA4;IL2RB
