Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Platelet activation	64/124	4.904783e-27	1.491054e-24	0	0	8.013019e+00	4.854254e+02	ITGB1;ITGB3;ITGA2B;SNAP23;PIK3CD;PIK3CB;ACTB;PIK3CG;ACTG1;MYLK;AKT3;PRKACA;PRKACB;PRKG1;PTGIR;ARHGEF12;FCER1G;PPP1R12A;SYK;VWF;F2R;PLA2G4A;GP1BA;PLCB3;PLCB4;STIM1;BTK;ORAI1;LCP2;TLN1;PLCB2;ROCK1;ROCK2;SRC;ITPR1;RASGRP2;MYL12A;PIK3R6;ADCY6;GNAI1;MYL12B;GNAI2;PTGS1;RAP1B;GNA13;TBXA2R;P2RY1;PLCG2;MAPK1;FYN;MAPK3;LYN;VASP;GP6;GP5;MAPK12;GP9;FCGR2A;GNAQ;P2RX1;TBXAS1;GNAS;FERMT3;F2RL3
GO_Biological_Process_2023	Regulation of actin cytoskeleton	74/218	1.447543e-17	2.200265e-15	0	0	3.858477e+00	1.496089e+02	CYFIP2;ITGB1;CYFIP1;NCKAP1;ITGAM;ITGB5;ARPC1B;ITGB3;ITGA2B;BRK1;PIK3CD;PIK3CB;ACTB;CRKL;MYLK;ACTG1;TMSB4X;TMSB4Y;RAC2;ITGAX;RAC3;ITGAV;GIT1;VAV3;ACTR3;ACTR2;ARHGEF12;PPP1R12A;ACTN1;F2R;VAV1;TIAM1;MYH9;ITGA6;ITGA5;PFN1;SOS1;DOCK1;PPP1R12C;SOS2;VCL;ARHGEF6;ROCK1;ROCK2;SRC;PDGFB;CXCR4;IQGAP1;IQGAP2;MYL12A;MYL12B;SLC9A1;FGD3;GNA13;RRAS;PDGFC;MAPK1;NCKAP1L;PIP5K1C;MAPK3;GSN;EGF;LIMK2;LIMK1;MSN;ARPC4;ARPC5;SSH3;SSH1;DIAPH1;LPAR5;ARPC2;ARPC3;KRAS
GO_Biological_Process_2023	Yersinia infection	52/137	5.144997e-15	5.213597e-13	0	0	4.565688e+00	1.502146e+02	ITGB1;GSK3B;WIPF1;ARPC1B;PIK3CD;PIK3CB;ACTB;ACTG1;CRKL;PYCARD;IKBKB;TBK1;AKT3;RAC2;RAC3;IKBKG;ACTR3;VAV3;ACTR2;ARHGEF12;FOS;IRAK4;VAV1;TRAF6;ELMO2;LCP2;ITGA5;DOCK1;SKAP2;ROCK1;ROCK2;SRC;WAS;MAPK1;PTK2B;PIP5K1C;MAPK3;GIT2;JUN;LIMK1;ARPC4;NFATC1;ARPC5;MAPK12;NFKBIA;CD4;FCGR2A;ARPC2;ARPC3;GNAQ;TAB2;LAT
GO_Biological_Process_2023	Pathogenic Escherichia coli infection	64/197	2.357499e-14	1.791699e-12	0	0	3.599852e+00	1.129583e+02	CYFIP2;ITGB1;CYFIP1;NCKAP1;ARF1;WIPF1;ARPC1B;BRK1;ACTB;ACTG1;IKBKB;PYCARD;TUBA1C;TUBA1A;TUBB1;CASP4;TNFSF10;NCK2;IKBKG;NCK1;ACTR3;ACTR2;ARHGEF12;F2R;FOS;IRAK4;TUBA4A;TNFRSF1A;CLDN10;TRAF6;MYH9;CLDN16;RAB1A;ROCK1;ROCK2;SRC;CYTH3;GNA13;SLC9A3R1;CYTH2;MYO6;MAPK1;NCKAP1L;FYN;WASF3;MAPK3;JUN;MYO10;MYO5A;ARPC4;ARPC5;MAPK12;NFKBIA;FCGR2A;MYO1C;LPAR5;ARPC2;ARPC3;ABI1;TAB3;TAB2;PTPN6;SEC24D;MYO1F
GO_Biological_Process_2023	Chemokine signaling pathway	62/192	8.146513e-14	4.953080e-12	0	0	3.565393e+00	1.074560e+02	GSK3B;PIK3CD;ARRB1;CXCL1;ARRB2;PIK3CB;CXCL3;CXCL2;PIK3CG;CRKL;IKBKB;AKT3;RAC2;RAC3;IKBKG;PRKACA;PRKACB;JAK3;PF4V1;VAV3;PRKCB;PRKCD;VAV1;TIAM1;PLCB3;PLCB4;DOCK2;SOS1;PLCB2;SOS2;ROCK1;SHC1;ROCK2;SRC;WAS;CXCR4;RASGRP2;PIK3R6;ADCY6;GNAI1;GNAI2;RAP1B;GRK5;GRK4;CCL5;GNG7;PLCG2;MAPK1;PTK2B;MAPK3;LYN;CCL23;BAD;STAT3;PPBP;GNG11;NFKBIA;GNAQ;GRB2;KRAS;GNB5;PF4
GO_Biological_Process_2023	Salmonella infection	73/249	1.381968e-13	7.001969e-12	0	0	3.107229e+00	9.200536e+01	CYFIP2;CYFIP1;NCKAP1;ARF1;ARPC1B;FHOD1;BRK1;PIK3CD;PIK3CB;PIK3C2A;ACTB;PIK3CG;ACTG1;PIK3C2B;IKBKB;PYCARD;TUBA1C;TUBA1A;KIF5B;AKT3;TUBB1;CASP4;TNFSF10;IKBKG;VPS39;ACTR3;ACTR2;RIPK3;DYNLT1;DYNLT3;RHOH;FOS;IRAK4;TUBA4A;RHOB;TNFRSF1A;TRAF6;ELMO2;PFN1;ARL8A;ARL8B;RAB5B;AHNAK;ROCK2;LY96;MYL12A;MYL12B;HSP90B1;CYTH3;CYTH2;RRAS;MYO6;FLNA;MAPK1;NCKAP1L;WASF3;MAPK3;JUN;M6PR;ARPC4;ARPC5;MAPK12;NFKBIA;PTPRC;ARPC2;ARPC3;ABI1;CTNNB1;TAB3;TAB2;DYNLRB1;ACBD3;ACTR10
GO_Biological_Process_2023	Focal adhesion	63/201	2.373192e-13	1.015585e-11	0	0	3.412774e+00	9.920718e+01	ITGB1;GSK3B;ITGB5;ITGB3;ITGA2B;ILK;PIK3CD;LAMC1;PIK3CB;ACTB;CRKL;MYLK;ACTG1;CCND3;AKT3;RAC2;RAC3;ITGAV;VAV3;PPP1R12A;VWF;PRKCB;ACTN1;PRKCA;VAV1;COL4A5;ITGA6;ITGA5;TLN1;SOS1;DOCK1;PPP1R12C;SOS2;VCL;ROCK1;SHC1;ROCK2;SRC;PDGFB;THBS1;MYL12A;MYL12B;RAP1B;PDGFC;FLNA;MAPK1;FYN;PIP5K1C;MAPK3;VASP;JUN;CAV2;BAD;EGF;LAMB2;CAV1;VEGFB;VEGFC;DIAPH1;PARVG;ZYX;CTNNB1;GRB2
GO_Biological_Process_2023	MAPK signaling pathway	81/294	2.672591e-13	1.015585e-11	0	0	2.852605e+00	8.258450e+01	PTPRR;ARRB1;IL1RAP;ARRB2;CRKL;IKBKB;RPS6KA5;DUSP10;AKT3;RAC2;RAC3;MAP3K8;IKBKG;PRKACA;PRKACB;MAP3K5;MAP4K1;DUSP5;MEF2C;DUSP3;PRKCB;DUSP1;PLA2G4A;PRKCA;FOS;IRAK4;DUSP6;TGFBR1;EREG;DUSP7;TGFBR2;TNFRSF1A;PPM1A;CACNB3;CACNB4;DDIT3;RASA1;TRAF6;KIT;RAPGEF2;SOS1;SOS2;MAX;PDGFB;NLK;RASGRP2;STK4;RASGRP4;RASGRP3;STK3;RAP1B;PPP3R1;RRAS;PDGFC;FLNA;MAPK1;MAPK3;MAP3K2;JUN;JUND;TGFB1;GADD45B;ANGPT1;GADD45A;BDNF;EGF;VEGFB;VEGFC;NFATC1;HSPA2;MAPK12;NR4A1;TAOK3;TAOK1;TAOK2;GRB2;TAB2;KRAS;MAP3K11;HSPA1A;MAP3K12
GO_Biological_Process_2023	Fc gamma R-mediated phagocytosis	39/97	1.525584e-12	5.153084e-11	0	0	4.998371e+00	1.359989e+02	ARPC1B;INPPL1;WAS;PIK3CD;PIK3CB;ASAP2;CRKL;AKT3;PLCG2;RAC2;MAPK1;PIP5K1C;WASF3;MAPK3;LYN;VASP;ACTR3;VAV3;ACTR2;GSN;SYK;MYO10;PRKCB;PRKCE;LIMK2;PRKCD;LIMK1;PLA2G4A;PRKCA;ARPC4;ARPC5;VAV1;PTPRC;FCGR2A;ARPC2;BIN1;ARPC3;DOCK1;LAT
GO_Biological_Process_2023	Phospholipase D signaling pathway	49/148	1.163362e-11	3.536620e-10	0	0	3.686215e+00	9.280829e+01	DGKG;DGKE;ARF1;DGKD;DGKA;PIK3CD;PIK3CB;PIK3CG;AKT3;FCER1A;FCER1G;SYK;F2R;PLA2G4A;PRKCA;DNM3;PLCB3;PLCB4;KIT;AGTR1;MS4A2;SOS1;PLCB2;SOS2;DGKI;DGKH;RALB;SHC1;PDGFB;AGPAT2;PIK3R6;ADCY6;AGPAT4;CYTH3;GNA13;CYTH2;RRAS;PDGFC;PLCG2;MAPK1;PTK2B;FYN;PIP5K1C;MAPK3;EGF;LPAR5;GNAS;GRB2;KRAS
